relative_humidity_2m_(%),dew_point_2m_(EEC),apparent_temperature_(EEC),precipitation_(mm),pressure_msl_(hPa),surface_pressure_(hPa),cloud_cover_(%),cloud_cover_low_(%),cloud_cover_mid_(%),cloud_cover_high_(%),vapour_pressure_deficit_(kPa),wind_speed_10m_(km_h),wind_speed_100m_(km_h),wind_direction_10m_(EE),wind_direction_100m_(EE),wind_gusts_10m_(km_h),soil_temperature_0_to_7cm_(EEC),soil_temperature_7_to_28cm_(EEC),soil_temperature_28_to_100cm_(EEC),soil_temperature_100_to_255cm_(EEC),soil_moisture_0_to_7cm_(m?_m?),soil_moisture_7_to_28cm_(m?_m?),soil_moisture_28_to_100cm_(m?_m?),soil_moisture_100_to_255cm_(m?_m?),shortwave_radiation_(W_m?),direct_radiation_(W_m?),diffuse_radiation_(W_m?),direct_normal_irradiance_(W_m?),global_tilted_irradiance_(W_m?),terrestrial_radiation_(W_m?),is_day_(),sunshine_duration_(s),time
91.0,20.7,25.7,0.1,1011.4,987.2,52.0,3.0,32.0,100,0.24424605910528838,5.3,10.9,298.0,278.0,16.6,23.8,25.5,25.5,25.4,0.272,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T00:00
89.0,20.3,25.5,0.0,1010.9,986.7,46.17184820855785,6.530403208244884,17.0,100,0.29,5.3,12.7,298.0,295.0,8.3,23.4,25.3,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T01:00
87.0,20.2,25.4,0.0,1010.0,985.8,42.0,7.0,10.0,100,0.37,7.6,16.8,315.0,315.0,13.0,23.2,25.1,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T02:00
86.0,20.1,25.1,0.0,1010.0,985.8,43.0,8.0,9.0,100,0.38,9.768114828827922,19.4,320.0,313.0,15.1,23.1,25.0,25.5,25.4,0.27,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T03:00
84.0,19.9,25.6,0.0,1009.8,985.7,47.21037633014515,13.0,10.0,100,0.43,6.4,16.1,308.0,312.0,18.0,23.0,24.8,25.5,25.4,0.27,0.277,0.26805149615698687,0.323,0,0,0,0.0,0,0.09603818538022324,0,0.0,2022-01-01T04:00
86.0,19.9,25.4,0.0,1010.2,986.0,50.0,9.0,19.0,100,0.39,6.896749918536472,13.8,322.5507262617311,321.0,10.4,22.9,24.7,25.5,25.4,0.269,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T05:00
85.0,20.2,25.8,0.0,1010.9,986.8,48.0,12.257460684338419,10.0,100,0.42,6.948655725999399,13.8,323.59238140422076,313.0,10.4,22.8,24.6,25.5,25.4,0.269,0.277,0.268,0.323,13,1,12,10.1,13,77.9,1,3.4449332620554287,2022-01-01T06:00
81.0,21.4,28.4,0.0,1011.0,987.0,38.0,4.0,7.0,100,0.61,8.4,13.8,310.0,311.0,17.6,24.0,24.5,25.5,25.4,0.267,0.276,0.267,0.323,153,69,84,285.1,153,342.4,1,3600.0,2022-01-01T07:00
77.0,21.8,29.7,0.0,1011.4,987.5150314829566,41.0,10.0,3.0,100,0.7817689715039429,9.3,12.6,306.0,307.0,19.4,25.2,24.6,25.5,25.4,0.265,0.275,0.267,0.323,373,257,116,551.8,373,658.8,1,3600.0,2022-01-01T08:00
74.0,22.4,31.2,0.0,1011.5,987.7,39.584658717472806,8.0,4.0,100,0.95,11.8184418009028,15.6,287.06790380583624,293.0,24.8,26.5,24.7,25.5,25.4,0.263,0.274,0.266,0.323,619,484,135,731.9,619,935.4,1,3600.0,2022-01-01T09:00
74.0,23.1,33.4,0.0,1011.4,987.7,39.0,8.0,3.0,100,1.01,10.822528835161997,13.8,274.0,274.6494860879263,26.6,27.8,24.9,25.5,25.4,0.26,0.273,0.266,0.323,752,606,146,743.2,752,1153.4,1,3600.0,2022-01-01T10:00
75.0,23.8,35.1,0.09957767525870909,1010.9,987.2,45.0,16.0,1.0,100,0.9899631799547439,10.2,12.9,280.0,283.0,28.8,28.9,25.2,25.5,25.4,0.257,0.271,0.2643169608846237,0.323,888,690,198,752.0,888,1297.9,1,3600.0,2022-01-01T11:00
75.0,24.1,35.7,0.531272791779551,1009.9,986.2,100.0,100.0,1.0,98,0.98,10.0,12.5,255.0,258.0,28.4,29.8,25.6,25.5,25.4,0.255,0.27,0.265,0.323,911,605,306,629.7,911,1392.814966465682,1,3600.0,2022-01-01T12:00
84.0,23.0,29.8,4.8,1010.0,986.1,81.19292394086327,32.9475531614787,41.0,100,0.53,13.0,17.6,273.0,271.0,33.8,29.0,25.9,25.5,25.4,0.309,0.269,0.264,0.323,615,208,407,220.8,615,1342.8861570550362,1,3600.0,2022-01-01T13:00
