relative_humidity_2m_(%),dew_point_2m_(EEC),apparent_temperature_(EEC),precipitation_(mm),pressure_msl_(hPa),surface_pressure_(hPa),cloud_cover_(%),cloud_cover_low_(%),cloud_cover_mid_(%),cloud_cover_high_(%),vapour_pressure_deficit_(kPa),wind_speed_10m_(km_h),wind_speed_100m_(km_h),wind_direction_10m_(EE),wind_direction_100m_(EE),wind_gusts_10m_(km_h),soil_temperature_0_to_7cm_(EEC),soil_temperature_7_to_28cm_(EEC),soil_temperature_28_to_100cm_(EEC),soil_temperature_100_to_255cm_(EEC),soil_moisture_0_to_7cm_(m?_m?),soil_moisture_7_to_28cm_(m?_m?),soil_moisture_28_to_100cm_(m?_m?),soil_moisture_100_to_255cm_(m?_m?),shortwave_radiation_(W_m?),direct_radiation_(W_m?),diffuse_radiation_(W_m?),direct_normal_irradiance_(W_m?),global_tilted_irradiance_(W_m?),terrestrial_radiation_(W_m?),is_day_(),sunshine_duration_(s),time
91.0,20.7,25.7,0.1,1011.4,987.2,52.0,3.0,32.0,100,0.2450999999999999,5.3,10.9,298.0,278.0,16.6,23.8,25.5,25.5,25.4,0.272,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T00:00
89.0,20.3,25.5,0.0,1010.9,986.7,46.63,7.44,17.0,100,0.29,5.3,12.7,298.0,295.0,8.3,23.4,25.3,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T01:00
87.0,20.2,25.4,0.0,1010.0,985.8,42.0,7.0,10.0,100,0.37,7.6,16.8,315.0,315.0,13.0,23.2,25.1,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T02:00
86.0,20.1,25.1,0.0,1010.0,985.8,43.0,8.0,9.0,100,0.38,9.391000000000004,19.4,320.0,313.0,15.1,23.1,25.0,25.5,25.4,0.27,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T03:00
84.0,19.9,25.6,0.0,1009.8,985.7,47.95,13.0,10.0,100,0.43,6.4,16.1,308.0,312.0,18.0,23.0,24.8,25.5,25.4,0.27,0.277,0.26787000000000033,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T04:00
86.0,19.9,25.4,0.0,1010.2,986.0,50.0,9.0,19.0,100,0.39,6.803999999999997,13.8,329.61,321.0,10.4,22.9,24.7,25.5,25.4,0.269,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T05:00
85.0,20.2,25.8,0.0,1010.9,986.8,48.0,12.99,10.0,100,0.42,6.690000000000003,13.8,315.16,313.0,10.4,22.8,24.6,25.5,25.4,0.269,0.277,0.268,0.323,13,1,12,10.1,13,77.9,1,0.0,2022-01-01T06:00
81.0,21.4,28.4,0.0,1011.0,987.0,38.0,4.0,7.0,100,0.61,8.4,13.8,310.0,311.0,17.6,24.0,24.5,25.5,25.4,0.267,0.276,0.267,0.323,153,69,84,285.1,153,342.4,1,3600.0,2022-01-01T07:00
77.0,21.8,29.7,0.0,1011.4,987.4789999999998,41.0,10.0,3.0,100,0.7816000000000004,9.3,12.6,306.0,307.0,19.4,25.2,24.6,25.5,25.4,0.265,0.275,0.267,0.323,373,257,116,551.8,373,658.8,1,3600.0,2022-01-01T08:00
74.0,22.4,31.2,0.0,1011.5,987.7,41.49,8.0,4.0,100,0.95,12.06,15.6,288.25,293.0,24.8,26.5,24.7,25.5,25.4,0.263,0.274,0.266,0.323,619,484,135,731.9,619,935.4,1,3600.0,2022-01-01T09:00
74.0,23.1,33.4,0.0,1011.4,987.7,39.0,8.0,3.0,100,1.01,11.068999999999999,13.8,274.0,277.49,26.6,27.8,24.9,25.5,25.4,0.26,0.273,0.266,0.323,752,606,146,743.2,752,1153.4,1,3600.0,2022-01-01T10:00
75.0,23.8,35.1,0.06999999999999994,1010.9,987.2,45.0,16.0,1.0,100,0.9850999999999995,10.2,12.9,280.0,283.0,28.8,28.9,25.2,25.5,25.4,0.257,0.271,0.26466999999999985,0.323,888,690,198,752.0,888,1297.9,1,3600.0,2022-01-01T11:00
75.0,24.1,35.7,0.8660000000000001,1009.9,986.2,100.0,100.0,1.0,98,0.98,10.0,12.5,255.0,258.0,28.4,29.8,25.6,25.5,25.4,0.255,0.27,0.265,0.323,911,605,306,629.7,911,1361.3110000000013,1,3600.0,2022-01-01T12:00
84.0,23.0,29.8,4.8,1010.0,986.1,83.08,31.38,41.0,100,0.53,13.0,17.6,273.0,271.0,33.8,29.0,25.9,25.5,25.4,0.309,0.269,0.264,0.323,615,208,407,220.8,615,1341.9080000000001,1,3600.0,2022-01-01T13:00
82.0,23.7,31.7,1.1630000000000003,1008.9,985.1,55.45,9.0,28.83,100,0.62,8.1,10.7,283.0,282.0,26.3,28.6,26.1,25.5,25.4,0.302,0.271,0.264,0.323,496,167,329,193.6,496,1224.9980000000005,1,3600.0,2022-01-01T14:00
86.0,22.3,28.2,5.2,1009.3,985.3779999999996,100.0,76.0,60.0,100,0.44,12.2,17.6,289.0,285.0,33.8,28.0,26.3,25.5,25.4,0.349,0.277,0.263,0.322,438,126,312,173.0,438,1030.3,1,3389.84,2022-01-01T15:00
85.0,22.5,28.9,0.1,1009.1,985.1519999999998,92.0,51.0,26.0,100,0.48,10.284999999999995,14.8,315.0,317.0,24.5,26.8,26.4,25.5,25.4,0.326,0.284,0.263,0.322,161,6,155,11.0,161,774.9,1,0.0,2022-01-01T16:00
87.0,22.3,28.2,0.3,1009.5,985.5,58.0,8.0,35.11,100,0.42,11.2,17.1,312.0,309.0,23.0,26.1,26.4,25.5,25.4,0.317,0.287,0.263,0.322,155,44,111,131.9,155,471.9,1,2157.19,2022-01-01T17:00
88.0,22.0,27.9,0.18700000000000003,1010.3,986.2710000000006,50.0,13.34,13.0,100,0.38,8.7,16.1,322.0,318.0,19.8,25.4,26.3,25.5,25.4,0.31,0.289,0.263,0.322,46,11,35,75.4,46,144.8,0,284.12,2022-01-01T18:00
88.0,22.5,28.6,0.0,1010.9,986.8789999999995,50.0,7.0,23.0,100,0.37,8.003,14.7,317.0,324.0,14.8,26.3,26.1,25.5,25.4,0.288,0.272,0.2579099999999998,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T19:00
86.0,21.8,28.2,0.0,1011.4,987.4,39.0,8.0,3.0,100,0.44,7.567000000000002,14.3,309.0,315.0,13.3,25.5,26.1,25.5,25.4,0.286,0.272,0.258,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T20:00
88.0,21.7,27.9,0.034,1011.8,987.7,41.0,12.0,1.0,100,0.36,6.389000000000001,11.2,312.0,301.64,11.5,25.0,26.0,25.5,25.4,0.283,0.273,0.257,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T21:00
92.0,21.7,27.2,0.1,1011.9,987.7,52.0,18.0,12.0,96,0.23,4.8,8.3,297.0,288.0,8.61,24.5,25.9,25.5,25.4,0.282,0.273,0.257,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T22:00
93.0,21.4,26.6,0.1,1011.6,987.4,83.0,31.95,41.96,94,0.2,4.4,7.6,279.0,289.0,7.2,24.2,25.7,25.5,25.4,0.281,0.273,0.257,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T23:00
89.0,21.3,26.7,0.018000000000000002,1011.1,987.0,40.0,1.83,20.0,92,0.3,6.4,13.5,313.0,314.0,10.1,23.9,25.6,25.5,25.4,0.281,0.273,0.257,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T00:00
89.0,21.2,26.7,0.0,1010.5,986.4,72.0,33.0,33.0,75,0.3086999999999999,6.1,14.1,298.0,308.0,13.0,23.7,25.4,25.5,25.4,0.28,0.273,0.256,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T01:00
89.0,21.1,26.5,0.0,1010.1,986.0,47.0,3.59,30.0,90,0.31,6.6,13.8,299.0,311.0,12.2,23.4,25.3,25.5,25.4,0.278,0.274,0.256,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T02:00
92.0,20.7,25.6,0.0,1009.9,985.7,41.83,1.0,19.0,100,0.22,5.2,12.7,304.0,315.0,11.5,23.1,25.1,25.5,25.4,0.277,0.274,0.256,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T03:00
90.0,20.4,25.3,0.0,1010.0,985.8,40.47,2.0,15.0,100,0.27,6.8,14.6,302.0,310.0,11.2,22.9,24.9,25.5,25.4,0.276,0.274,0.256,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T04:00
88.0,20.2,25.2,0.0,1010.2,986.0,37.0,1.0,9.76,100,0.3227999999999996,6.6,15.0,311.0,316.0,13.0,22.7,24.8,25.5,25.4,0.275,0.274,0.256,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T05:00
87.0,20.4,25.5,0.0,1010.8,986.6,49.0,12.0,13.0,100,0.36290000000000006,7.9,15.3,313.0,315.0,13.0,22.6,24.6,25.5,25.4,0.274,0.273,0.255,0.322,13,1,12,10.2,13,76.5,1,0.0,2022-01-02T06:00
84.0,21.7,28.2,0.0,1011.2,987.2,31.0,0.0,2.0,100,0.48,7.1,11.8,300.0,310.0,13.0,23.8,24.5,25.5,25.4,0.271,0.272,0.255,0.322,146,68,78,283.1,146,339.8,1,3600.0,2022-01-02T07:00
80.0,22.0,29.7,0.0,1011.6,987.7,32.0,2.0,1.0,100,0.67,6.3,8.1,283.0,288.46,15.481999999999996,25.0,24.5,25.5,25.4,0.27,0.272,0.255,0.322,353,186,167,400.7,353,656.7,1,3600.0,2022-01-02T08:00
78.0,22.2,30.1,0.0,1011.9,988.0,64.0,26.0,18.0,100,0.76,9.4,11.9,272.0,275.0,20.5,26.1,24.6,25.4,25.4,0.268,0.271,0.254,0.322,514,255,259,386.3,514,933.8,1,3600.0,2022-01-02T09:00
76.0,22.4,31.1,0.4,1011.5,987.7,67.0,25.0,24.0,100,0.87,10.0,12.4,257.0,260.14,24.013999999999996,27.1,24.8,25.4,25.4,0.269,0.27,0.254,0.322,622,280,342,343.7,622,1152.5,1,3600.0,2022-01-02T10:00
79.0,23.9,33.8,0.2,1010.9,987.1,50.0,10.95,18.0,100,0.77,9.6,12.0,236.0,237.8,25.2,28.2,25.1,25.4,25.4,0.267,0.27,0.253,0.322,782,494,288,538.5,782,1309.9320000000002,1,3600.0,2022-01-02T11:00
80.78,23.4,32.6,0.9609999999999999,1010.4,986.6,67.0,19.0,33.0,100,0.68,11.4,14.7,246.0,248.0,27.4,28.9,25.4,25.4,25.4,0.265,0.268,0.253,0.321,827,600,227,624.3,827,1359.4,1,3600.0,2022-01-02T12:00
81.0,24.0,32.9,0.0,1009.7,985.9619999999992,100.0,100.0,13.0,100,0.71,10.3,13.0,234.21,236.0,25.96599999999999,29.2,25.7,25.4,25.4,0.262,0.267,0.252,0.321,677,378,299,400.9,677,1333.7,1,3600.0,2022-01-02T13:00
81.0,23.1,31.0,0.1,1009.2,985.4,100.0,87.0,71.0,100,0.68,13.0,16.7,246.0,245.0,30.493999999999996,29.3,26.0,25.4,25.4,0.26,0.266,0.252,0.321,667,390,277,451.4,667,1222.1,1,3600.0,2022-01-02T14:00
82.0,23.4,31.1,0.0,1008.7,984.9070000000003,75.13,35.0,23.0,100,0.65,9.7,12.2,239.0,242.0,24.479,29.0,26.2,25.4,25.4,0.258,0.265,0.252,0.321,517,312,205,427.5,517,1032.3,1,3600.0,2022-01-02T15:00
86.0,23.2,30.2,0.2,1008.8,984.9,100.0,81.58,52.5,100,0.46,7.8,10.0,257.0,255.0,26.6,28.4,26.4,25.5,25.4,0.259,0.265,0.251,0.321,349,167,182,303.9,349,777.2,1,3600.0,2022-01-02T16:00
89.0,23.1,29.4,0.0,1009.1,985.2,100.0,95.0,13.0,100,0.36,8.2,10.8,231.69,233.0,20.2,27.6,26.5,25.5,25.4,0.258,0.264,0.25082000000000026,0.321,184,69,115,205.8,184,474.2,1,3600.0,2022-01-02T17:00
91.0,22.4,28.3,0.4750000000000003,1010.0,986.0,100.0,82.12,36.0,100,0.27,5.5,10.5,293.0,274.0,18.7,26.5,26.5,25.5,25.4,0.26,0.264,0.251,0.321,39,7,32,47.7,39,146.0,0,6.2473,2022-01-02T18:00
92.0,22.4,28.2,0.1,1010.1,986.0540000000008,57.0,25.47,7.0,100,0.24,5.0,8.5,291.0,282.0,9.7,27.2,26.3,25.5,25.4,0.257,0.267,0.251,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T19:00
91.0,22.4,28.4,0.0,1011.1,987.0,100.0,100.0,9.0,100,0.26,4.1049999999999995,7.1,297.0,294.0,7.6,26.1,26.3,25.5,25.4,0.257,0.267,0.25,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T20:00
90.0,22.2,28.3,0.1,1011.5,987.4,100.0,100.0,10.37,100,0.3003999999999999,5.4,9.0,307.0,299.0,8.6,25.4,26.2,25.5,25.4,0.258,0.267,0.25,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T21:00
90.0,22.1,27.8,0.1,1011.7,987.6,100.0,100.0,4.0,100,0.3,7.1,11.4,311.0,294.0,11.9,25.0,26.1,25.5,25.4,0.258,0.266,0.25,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T22:00
90.0,22.0,27.3,0.1,1011.6,987.5,90.0,64.0,4.0,99,0.28,8.7,13.5,318.0,304.0,14.0,24.6,26.0,25.5,25.4,0.258,0.266,0.25,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-02T23:00
91.0,21.7,26.5,0.1,1011.0,986.9,100.0,89.0,7.0,100,0.25,10.6,16.3,325.0,319.0,17.3,24.3,25.9,25.5,25.4,0.259,0.266,0.249,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-03T00:00
90.96,21.7,26.1,0.0,1010.6,986.5,100.0,99.0,3.0,100,0.25,12.4,19.0,330.0,323.0,22.448999999999998,24.1,25.7,25.5,25.4,0.259,0.266,0.249,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-03T01:00
91.0,21.5,25.8,0.0,1010.0,985.9,82.0,53.0,7.0,100,0.26,13.2,21.5,331.0,323.65,22.846000000000004,23.9,25.6,25.5,25.4,0.258,0.266,0.249,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-03T02:00
90.0,21.5,26.0,0.0,1010.1,986.0,52.0,19.0,8.0,100,0.27,11.374000000000002,20.0,328.0,321.0,22.0,23.8,25.4,25.5,25.4,0.258,0.265,0.249,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-03T03:00
90.0,21.3,25.6,0.022000000000000002,1010.0,985.9,46.0,15.9,2.0,100,0.2720999999999999,12.7,21.0,331.0,325.0,22.0,23.6,25.3,25.5,25.4,0.258,0.265,0.248,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-03T04:00
89.0,21.0,25.8,0.0,1010.4,986.3,53.77,17.0,14.1,100,0.3,9.815000000000003,17.4,325.0,322.0,21.2,23.5,25.1,25.5,25.4,0.258,0.265,0.248,0.321,0,0,0,0.0,0,0.0,0,0.0,2022-01-03T05:00
89.0,21.0,25.9,0.0,1011.0,986.8629999999995,45.0,16.04,0.0,100,0.31,9.5,15.7,331.0,328.0,16.6,23.3,25.0,25.5,25.4,0.257,0.265,0.248,0.321,13,1,12,10.3,13,75.2,1,0.0,2022-01-03T06:00
86.0,21.7,27.4,0.0,1011.6,987.5,38.0,8.0,2.0,100,0.42619999999999997,9.470999999999997,15.3,318.85,317.0,18.0,24.4,24.9,25.5,25.4,0.253,0.261,0.247,0.32,128,28,100,117.4,128,337.3,1,1722.54,2022-01-03T07:00
81.0,21.7,28.6,0.21400000000000002,1012.3,988.3,43.62,11.0,4.0,100,0.61,9.191999999999997,12.5,318.0,316.0,20.158000000000005,25.0,24.9,25.5,25.4,0.253,0.261,0.247,0.32,291,85,206,183.7,291,654.6,1,3600.0,2022-01-03T08:00
77.0,21.8,29.8,0.0,1012.6,988.7,42.0,13.0,0.0,100,0.77,7.6,9.8,278.0,278.0,19.8,25.9,25.0,25.5,25.4,0.251,0.26,0.247,0.32,420,123,297,186.6,420,932.3,1,3600.0,2022-01-03T09:00
74.0,21.8,30.4,0.061,1011.8,987.9,38.0,9.0,0.0,100,0.92,8.4,10.6,250.0,252.0,20.2,26.8,25.1,25.5,25.4,0.249,0.259,0.246,0.32,545,171,374,210.1,545,1151.6,1,3600.0,2022-01-03T10:00
