relative_humidity_2m_(%),dew_point_2m_(EEC),apparent_temperature_(EEC),precipitation_(mm),pressure_msl_(hPa),surface_pressure_(hPa),cloud_cover_(%),cloud_cover_low_(%),cloud_cover_mid_(%),cloud_cover_high_(%),vapour_pressure_deficit_(kPa),wind_speed_10m_(km_h),wind_speed_100m_(km_h),wind_direction_10m_(EE),wind_direction_100m_(EE),wind_gusts_10m_(km_h),soil_temperature_0_to_7cm_(EEC),soil_temperature_7_to_28cm_(EEC),soil_temperature_28_to_100cm_(EEC),soil_temperature_100_to_255cm_(EEC),soil_moisture_0_to_7cm_(m?_m?),soil_moisture_7_to_28cm_(m?_m?),soil_moisture_28_to_100cm_(m?_m?),soil_moisture_100_to_255cm_(m?_m?),shortwave_radiation_(W_m?),direct_radiation_(W_m?),diffuse_radiation_(W_m?),direct_normal_irradiance_(W_m?),global_tilted_irradiance_(W_m?),terrestrial_radiation_(W_m?),is_day_(),sunshine_duration_(s),time
91.0,20.7,25.7,0.1,1011.4,987.2,52.0,3.0,32.0,100,0.24354205438688023,5.3,10.9,298.0,278.0,16.6,23.8,25.5,25.5,25.4,0.272,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T00:00
89.0,20.3,25.5,0.0,1010.9,986.7,50.71139423010531,9.801567428186141,17.0,100,0.29,5.3,12.7,298.0,295.0,8.3,23.4,25.3,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T01:00
87.0,20.2,25.4,0.0,1010.0,985.8,42.0,7.0,10.0,100,0.37,7.6,16.8,315.0,315.0,13.0,23.2,25.1,25.5,25.4,0.271,0.278,0.269,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T02:00
86.0,20.1,25.1,0.0,1010.0,985.8,43.0,8.0,9.0,100,0.38,10.590905152802756,19.4,320.0,313.0,15.1,23.1,25.0,25.5,25.4,0.27,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T03:00
84.0,19.9,25.6,0.0,1009.8,985.7,46.99229632656614,13.0,10.0,100,0.43,6.4,16.1,308.0,312.0,18.0,23.0,24.8,25.5,25.4,0.27,0.277,0.2646481537264724,0.323,0,0,0,0.0,0,-0.13414587638370845,0,0.0,2022-01-01T04:00
86.0,19.9,25.4,0.0,1010.2,986.0,50.0,9.0,19.0,100,0.39,7.048799091219083,13.8,323.3105500300761,321.0,10.4,22.9,24.7,25.5,25.4,0.269,0.277,0.268,0.323,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T05:00
85.0,20.2,25.8,0.0,1010.9,986.8,48.0,12.789946045618722,10.0,100,0.42,6.543659171876455,13.8,320.6484971786704,313.0,10.4,22.8,24.6,25.5,25.4,0.269,0.277,0.268,0.323,13,1,12,10.1,13,77.9,1,0.012311972386541943,2022-01-01T06:00
81.0,21.4,28.4,0.0,1011.0,987.0,38.0,4.0,7.0,100,0.61,8.4,13.8,310.0,311.0,17.6,24.0,24.5,25.5,25.4,0.267,0.276,0.267,0.323,153,69,84,285.1,153,342.4,1,3600.0,2022-01-01T07:00
77.0,21.8,29.7,0.0,1011.4,987.534846191424,41.0,10.0,3.0,100,0.7829094817905667,9.3,12.6,306.0,307.0,19.4,25.2,24.6,25.5,25.4,0.265,0.275,0.267,0.323,373,257,116,551.8,373,658.8,1,3600.0,2022-01-01T08:00
74.0,22.4,31.2,0.0,1011.5,987.7,39.997833328872375,8.0,4.0,100,0.95,12.133862497099583,15.6,288.25305451524736,293.0,24.8,26.5,24.7,25.5,25.4,0.263,0.274,0.266,0.323,619,484,135,731.9,619,935.4,1,3600.0,2022-01-01T09:00
74.0,23.1,33.4,0.0,1011.4,987.7,39.0,8.0,3.0,100,1.01,10.930213575216065,13.8,274.0,277.3497869843016,26.6,27.8,24.9,25.5,25.4,0.26,0.273,0.266,0.323,752,606,146,743.2,752,1153.4,1,3600.0,2022-01-01T10:00
75.0,23.8,35.1,0.31232232502619917,1010.9,987.2,45.0,16.0,1.0,100,0.9946974695657325,10.2,12.9,280.0,283.0,28.8,28.9,25.2,25.5,25.4,0.257,0.271,0.25897339862253865,0.323,888,690,198,752.0,888,1297.9,1,3600.0,2022-01-01T11:00
75.0,24.1,35.7,0.24611236715700924,1009.9,986.2,100.0,100.0,1.0,98,0.98,10.0,12.5,255.0,258.0,28.4,29.8,25.6,25.5,25.4,0.255,0.27,0.265,0.323,911,605,306,629.7,911,1353.9918232816383,1,3600.0,2022-01-01T12:00
84.0,23.0,29.8,4.8,1010.0,986.1,84.08166495741202,33.92465485059658,41.0,100,0.53,13.0,17.6,273.0,271.0,33.8,29.0,25.9,25.5,25.4,0.309,0.269,0.264,0.323,615,208,407,220.8,615,1333.6094035301119,1,3600.0,2022-01-01T13:00
82.0,23.7,31.7,1.444395463241799,1008.9,985.1,56.736869898187365,9.0,31.144589270191855,100,0.62,8.1,10.7,283.0,282.0,26.3,28.6,26.1,25.5,25.4,0.302,0.271,0.264,0.323,496,167,329,193.6,496,1188.2594378543074,1,3600.0,2022-01-01T14:00
86.0,22.3,28.2,5.2,1009.3,985.3449862591223,100.0,76.0,60.0,100,0.44,12.2,17.6,289.0,285.0,33.8,28.0,26.3,25.5,25.4,0.349,0.277,0.263,0.322,438,126,312,173.0,438,1030.3,1,3389.84,2022-01-01T15:00
85.0,22.5,28.9,0.1,1009.1,985.1580773499105,92.0,51.0,26.0,100,0.48,10.404808698913918,14.8,315.0,317.0,24.5,26.8,26.4,25.5,25.4,0.326,0.284,0.263,0.322,161,6,155,11.0,161,774.9,1,0.0,2022-01-01T16:00
87.0,22.3,28.2,0.3,1009.5,985.5,58.0,8.0,34.90193006200663,100,0.42,11.2,17.1,312.0,309.0,23.0,26.1,26.4,25.5,25.4,0.317,0.287,0.263,0.322,155,44,111,131.9,155,471.9,1,2157.19,2022-01-01T17:00
88.0,22.0,27.9,0.23175176711101914,1010.3,986.2670279754598,50.0,12.805491935484767,13.0,100,0.38,8.7,16.1,322.0,318.0,19.8,25.4,26.3,25.5,25.4,0.31,0.289,0.263,0.322,46,11,35,75.4,46,144.8,0,284.12,2022-01-01T18:00
88.0,22.5,28.6,0.0,1010.9,986.8771381507337,50.0,7.0,23.0,100,0.37,8.036145044169302,14.7,317.0,324.0,14.8,26.3,26.1,25.5,25.4,0.288,0.272,0.2571463239042071,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T19:00
86.0,21.8,28.2,0.0,1011.4,987.4,39.0,8.0,3.0,100,0.44,6.977750830569143,14.3,309.0,315.0,13.3,25.5,26.1,25.5,25.4,0.286,0.272,0.258,0.322,0,0,0,0.0,0,-0.06320679850013403,0,0.0,2022-01-01T20:00
88.0,21.7,27.9,0.02393632723475785,1011.8,987.7,41.0,12.0,1.0,100,0.36,6.024374516459837,11.2,312.0,305.4555111744221,11.5,25.0,26.0,25.5,25.4,0.283,0.273,0.257,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T21:00
92.0,21.7,27.2,0.1,1011.9,987.7,52.0,18.0,12.0,96,0.23,4.8,8.3,297.0,288.0,8.341426077153493,24.5,25.9,25.5,25.4,0.282,0.273,0.257,0.322,0,0,0,0.0,0,0.0,0,0.0,2022-01-01T22:00
